p1,p2,max_rated_definition1,max_rated_definition2,popularity
car,automobile,"Men's best companion. Often referred as ""My wife"".",any form of transportation that does not requre much human effort.,0.165328597
gem,jewel,A gem is something that is absolutely great. Usually preceded by the word 'absolute.' Popularized by a certain individual named Dave A.,a really unique and sweet person,0.367291729
journey,voyage,"One of the great rock and roll bands of the 70's and 80's, started by former members of Santana, and fronted (most famously) by Steve Perry.  

The late 70's and early 80's were Journey's most successful period, with songs on the charts such as ""Lights,"" ""Any Way You Want It,"" ""Don't Stop Believin,"" ""Who's Cryin' Now,"" ""Be Good to Yourself,"" and the standard for [power ballads], ""Open Arms.""  

In the following years, there was turmoil in the band, from members getting fired and quitting.  The band reunited briefly in the mid-90's and then continued on without Steve Perry.  A new vocalist was found in Steve Augeri, who has an odd resemblance to Steve Perry, in both looks and in singing.  The band continues to make albums and go on tour.

Last year, Journey got a star on the Hollywood Walk of Fame, with many Journey members from the past and from now present.  ""Don't Stop Believin"" was featured in an episode of ""Family Guy.""  It was also made the official Chicago White Sox anthem on their way to the World Series.        ",To go an an extreme trek or adventure for some vagina,0.38034861
boy,lad,an animal that can talk,"An Australian term used to describe teenagers who wear a nautica, polo or nike white hat, tilted upright revealing the front of their hair with the strap at the back done up tight so it is dangling out the back, a striped polo or nautica shirt with the collar popped and either saucony or nautica trackies or shorts, topped off with nike Tnz which are fresh. These lads think they are tough but are generally small and skinny and travel in packs trying to roll other innocent bystanders for their worth.",0.230830699
coast,shore,"a word that means to roll or GLIDE on a skateboard, specifically after kicking your leg forward and pushing backwards on the ground to propel the rider forward

cruising on a skateboard

",What people that live in Philadelphia ([philly]) and the suburbs call the South Jersey beach.,0.187681582
asylum,madhouse,Where mentally ill/ mentally unstable men or women are held to recieve treatment.,"psychiatric ward,a place for the mentally unstable",0.581528302
magician,wizard,"After giving anal sex to a woman, spit salivia on her back and when she turns around blow your load in her face.",A 30+ year old virgin.,0.236277461
midday,noon,"Attractive or Fit, Can Be Abbreviated To Mids","12:00 P.M. 12:00 A.M. is midnight. 'Noon', unlike 'midnight', is a palindrome.",0.177064339
furnace,stove,"The general term for the external and some of the internal female genetalia. All of the mons pubis, the vulva, labia and vagina ending with the cervix. So named for the heat it exudes.",to do something of extreme stupidity.,0.163295339
food,fruit,"a substance you eat,then poop out.usually followed my a nap.","1. some one who is a flaming flamboyant homosexual

2. a very tasty edible snack, in which one might find a nice sweet pleasure from",0.255699647
bird,cock,slang (eng.) young woman,The male reproductive organ.  Used as a secondairy brain at times.,0.267277588
bird,crane,slang (eng.) young woman,A name for a particular attractive female. From the same root as [cutey].,0.299523434
tool,implement,One who lacks the mental capacity to know he is being used.  A [fool].  A [cretin].  Characterized by low intelligence and/or self-steem.,"a tool, utensil, or other piece of equipment, used for a particular purpose.",0.326537867
brother,monk,a person whom you are related to. sometimes a role model. sometimes an ass. sometimes a friend. a person who you are stuck being related to until the day you die through good or bad,I can't believe no one has given the real defintion yet.  A monk is a dedicated religious person who lives in a monastery.,0.33735104
crane,implement,A name for a particular attractive female. From the same root as [cutey].,"a tool, utensil, or other piece of equipment, used for a particular purpose.",0.295539267
lad,brother,"An Australian term used to describe teenagers who wear a nautica, polo or nike white hat, tilted upright revealing the front of their hair with the strap at the back done up tight so it is dangling out the back, a striped polo or nautica shirt with the collar popped and either saucony or nautica trackies or shorts, topped off with nike Tnz which are fresh. These lads think they are tough but are generally small and skinny and travel in packs trying to roll other innocent bystanders for their worth.",a person whom you are related to. sometimes a role model. sometimes an ass. sometimes a friend. a person who you are stuck being related to until the day you die through good or bad,0.313097055
journey,car,"One of the great rock and roll bands of the 70's and 80's, started by former members of Santana, and fronted (most famously) by Steve Perry.  

The late 70's and early 80's were Journey's most successful period, with songs on the charts such as ""Lights,"" ""Any Way You Want It,"" ""Don't Stop Believin,"" ""Who's Cryin' Now,"" ""Be Good to Yourself,"" and the standard for [power ballads], ""Open Arms.""  

In the following years, there was turmoil in the band, from members getting fired and quitting.  The band reunited briefly in the mid-90's and then continued on without Steve Perry.  A new vocalist was found in Steve Augeri, who has an odd resemblance to Steve Perry, in both looks and in singing.  The band continues to make albums and go on tour.

Last year, Journey got a star on the Hollywood Walk of Fame, with many Journey members from the past and from now present.  ""Don't Stop Believin"" was featured in an episode of ""Family Guy.""  It was also made the official Chicago White Sox anthem on their way to the World Series.        ","Men's best companion. Often referred as ""My wife"".",0.287625938
monk,oracle,I can't believe no one has given the real defintion yet.  A monk is a dedicated religious person who lives in a monastery.,"A divine or an especially authoritative revelation (or the person who delivers it), often an ambiguous or enigmatic utterance spoken through a medium in a trance state.",0.301171772
cemetery,woodland,place where all dem dead people sleep,"The coolest city in Northern Cali. jUST ABSOLUTLY THE BEST

also known as THE CITY OF TREE'S, OR WOODLONE!!",0.248442907
food,rooster,"a substance you eat,then poop out.usually followed my a nap.","A male [chicken]. As in, a bird that lives on a farm. As in a food animal. One that we eat. Just so I am completely clear.",0.247273493
coast,hill,"a word that means to roll or GLIDE on a skateboard, specifically after kicking your leg forward and pushing backwards on the ground to propel the rider forward

cruising on a skateboard

","heightened piece of earth,sometimes there are villages on a hill",0.184299576
forest,graveyard,"a ridiculous amount of pubic hair, noticed suddenly and publicly when revealed by such a hairy individual to the dismay of others. One might exclaim, describing the little people lost and roaming about this jungle, ""LET ME OUTA HERE!!!""",Soft drink made by mixing of all the different kinds of sodas at the fountain. Also see: [jersey turnpike],0.254734966
shore,woodland,What people that live in Philadelphia ([philly]) and the suburbs call the South Jersey beach.,"The coolest city in Northern Cali. jUST ABSOLUTLY THE BEST

also known as THE CITY OF TREE'S, OR WOODLONE!!",0.343168708
monk,slave,I can't believe no one has given the real defintion yet.  A monk is a dedicated religious person who lives in a monastery.,"1. S&M term to describe the submissive or submissives.

2. Human property.

3. Setting on a secondary hard disk drive, CD-Rom, etc.
 ",0.224864003
coast,forest,"a word that means to roll or GLIDE on a skateboard, specifically after kicking your leg forward and pushing backwards on the ground to propel the rider forward

cruising on a skateboard

","a ridiculous amount of pubic hair, noticed suddenly and publicly when revealed by such a hairy individual to the dismay of others. One might exclaim, describing the little people lost and roaming about this jungle, ""LET ME OUTA HERE!!!""",0.219352627
lad,wizard,"An Australian term used to describe teenagers who wear a nautica, polo or nike white hat, tilted upright revealing the front of their hair with the strap at the back done up tight so it is dangling out the back, a striped polo or nautica shirt with the collar popped and either saucony or nautica trackies or shorts, topped off with nike Tnz which are fresh. These lads think they are tough but are generally small and skinny and travel in packs trying to roll other innocent bystanders for their worth.",A 30+ year old virgin.,0.200019536
chord,smile,A mixture of notes played on the guitar.,A facial expression implemented by girls to kill and enslave entire populations.,0.143612993
glass,magician,Slang term for high purity methamphetamine.  According to DEA reffers to any p[roduct wiyh 85% or higher purity.  In real street usage reffers to any product with a clear crystalline appearance.,"After giving anal sex to a woman, spit salivia on her back and when she turns around blow your load in her face.",0.212518492
noon,string,"12:00 P.M. 12:00 A.M. is midnight. 'Noon', unlike 'midnight', is a palindrome.",loads of dicks tied together,0.13399431
rooster,voyage,"A male [chicken]. As in, a bird that lives on a farm. As in a food animal. One that we eat. Just so I am completely clear.",To go an an extreme trek or adventure for some vagina,0.217782795
