term1,term2,hu_ju,wup,lin,res,lch,cosine,popularity,hatred,r,overlap
gem,jewel,3.91,0.708041958,0.649949706,5.035199489,2.280249752,0.758465591,0.393530528,0.367291729,1,0.25
midday,noon,3.91,0.214285714,0.177619761,1.66290106,0.634743468,0.217084649,0.177064339,0.177064339,2,0
car,automobile,3.92,0.707692308,0.602738903,4.447242156,2.176910615,0.376448616,0.165328597,0.165328597,3,0.111111111
cemetery,graveyard,3.88,0.658530384,0.508411626,4.312699656,1.835013246,0.318907887,0.13039415,0.196925446,4,0
cushion,pillow,3.84,0.767843137,0.502625816,4.690040425,2.481437457,0.439034237,0.297174195,0.193845683,5,0.1
boy,lad,3.82,0.966666667,0.887380674,7.231576583,3.4065371,0.494090945,0.217461608,0.230830699,6,0.103896104
cock,rooster,3.68,0.835294118,0.748493597,7.598524033,2.713389919,0.595996432,0.115615953,0.311307772,7,0.285714286
tool,implement,3.66,0.516079363,0.449074119,3.694521041,1.603321223,0.434207927,0.326537867,0.326537867,8,0.076923077
forest,woodland,3.65,0.680982906,0.631676886,4.834677788,2.165828991,0.390623804,0.282330358,0.282330358,9,0.1
coast,shore,3.6,0.612109601,0.538936344,4.417132776,1.918006142,0.42009104,0.234891167,0.231239294,10,0.125
autograph,signature,3.59,0.678166822,0.635712189,6.249887986,2.19400838,0.433505988,0.193755217,0.253526292,11,0.1
journey,voyage,3.58,0.591468645,0.441735034,3.636998249,1.75315608,0.416528133,0.296694405,0.38034861,12,0.055555556
serf,slave,3.46,0.757667169,0.600531491,4.876363408,2.323212317,0.504023573,0.210375954,0.394641784,13,0.25
grin,smile,3.46,0.916666667,0.909604103,8.375992317,3.088280015,0.671764247,0.179986813,0.179986813,14,0.25
glass,tumbler,3.45,0.662528829,0.593199155,4.69E+00,2.035565833,0.436895404,0.216088589,0.256438861,15,0.076923077
cord,string,3.41,0.587301587,0.529610659,4.792712572,1.827804283,0.461891747,0.207670382,0.218786159,16,0.125
hill,mound,3.45,0.683301599,0.59510417,5.017411372,2.198174256,0.432922997,0.346978795,0.346978795,17,0.133333333
magician,wizard,3.21,0.811107693,0.728286828,6.192992269,2.540216123,0.472488798,0.236277461,0.236277461,18,0.142857143
furnace,stove,3.11,0.568798304,0.438354347,4.324344953,1.687886019,0.252567722,0.252567722,0.163295339,19,0.045454545
asylum,madhouse,3.64,0.520833333,0.313335649,2.588348344,1.633919567,0.581528302,0.581528302,0.581528302,20,0.25
brother,monk,2.74,0.826140351,0.651479975,6.25E+298,2.500911864,0.424847923,0.314245509,0.257412373,21,0.083333333
food,fruit,2.69,0.746983409,0.624052186,6.356339144,2.293766558,0.400951446,0.255699647,0.255699647,22,0.071428571
bird,cock,2.63,1,1,8.252993817,3.63758616,0.616565199,0.185474349,0.185474349,23,0.153846154
bird,crane,2.63,0.923076923,0.87470839,6.486946184,2.944438979,0.432370346,0.163036002,0.163036002,24,0.125
oracle,sage,2.61,0.741758242,0.594702858,1.49E+298,2.395132835,0.511564512,0.27863015,0.211376445,25,0.103448276
sage,wizard,2.46,0.60419896,0.534727075,4.505073104,1.901433099,0.512062922,0.203681862,0.203681862,26,0.062015504
lad,brother,2.41,0.777777778,0.691021999,6.855454285,2.503853699,0.509960022,0.313097055,0.313097055,27,0.086956522
crane,implement,2.37,0.682894712,0.516402571,4.482926535,1.998928659,0.334049949,0.295539267,0.295539267,28,0.142857143
magician,oracle,1.82,0.876884815,0.794433569,6.971637939,2.656976639,0.426620129,0.208472593,0.239834256,29,0.076923077
glass,jewel,1.78,0.746895292,0.725527483,5.489304689,2.454642771,0.407609588,0.244958894,0.325527471,30,0.025974026
cemetery,mound,1.69,0.841269841,0.726038511,7.107897116,2.622745347,0.454422159,0.286329774,0.211461643,31,0.019607843
journey,car,1.55,0.746141032,0.687826206,5.489320072,2.27355624,0.410491989,0.247068154,0.287625938,32,0.142857143
hill,woodland,1.48,0.617483847,0.481195796,3.882415987,1.915355324,0.348457615,0.209818763,0.209818763,33,0.083333333
crane,rooster,1.41,0.69989461,0.597068137,3.03E+298,2.133515477,0.459911077,0.408863087,0.292639778,34,0.192307692
furnace,implement,1.37,0.516306578,0.329895418,3.573702912,1.528545696,0.274803071,0.182782941,0.182782941,35,0
coast,hill,1.26,0.702099117,0.614702095,5.411588843,2.104003546,0.344126515,0.226958482,0.184780816,36,0.133333333
bird,woodland,1.24,0.923076923,0.848928653,6.486946184,2.944438979,0.368644082,0.154467368,0.154467368,37,0.076923077
shore,voyage,1.22,0.54720696,0.364494534,3.701970553,1.711918676,0.397923739,0.355047664,0.20025028,38,0.083333333
